order_id,warehouse_date,delivery_due_date,product_group,unit_of_measure,volume,tl_cost,ltl_cost
1,11/13/2006,01/30/2007,Eco-Friendly Apparel,1700,52353,890,151
2,12/01/2006,02/16/2007,Eco-Friendly Apparel,1556,48632,890,168
3,12/22/2006,02/27/2007,Eco-Friendly Apparel,1215,26950,890,223
4,01/10/2007,03/19/2007,Eco-Friendly Apparel,976,52815,890,163
5,04/12/2007,06/06/2007,Eco-Friendly Apparel,1087,57653,890,228
6,05/13/2007,06/19/2007,Handcrafted Home Decor,1533,40232,890,145
7,05/17/2007,06/19/2007,Handcrafted Home Decor,1549,28745,890,254
8,07/13/2007,10/02/2007,Eco-Friendly Apparel,1349,14597,890,124
9,07/04/2007,10/15/2007,Eco-Friendly Apparel,1240,51650,890,182
10,07/04/2007,08/27/2007,Eco-Friendly Apparel,926,32065,890,168
11,07/26/2007,08/21/2007,Handcrafted Home Decor,1239,17580,890,261
12,07/26/2007,08/25/2007,Handcrafted Home Decor,1207,15094,890,154
13,10/03/2007,11/20/2007,Eco-Friendly Apparel,1310,58152,890,148
14,08/28/2007,10/03/2007,Handcrafted Home Decor,1344,23822,890,178
15,11/12/2007,01/29/2008,Eco-Friendly Apparel,1767,35273,890,136
16,11/19/2007,01/21/2008,Eco-Friendly Apparel,1264,48046,890,223
17,11/21/2007,01/21/2008,Eco-Friendly Apparel,1637,30161,890,209
18,12/10/2007,01/31/2008,Handcrafted Home Decor,1259,24076,890,178
19,01/04/2008,01/04/2008,Eco-Friendly Apparel,1492,35274,890,197
20,02/27/2008,06/17/2008,Handcrafted Home Decor,949,51152,890,177
21,03/03/2008,03/19/2009,Handcrafted Home Decor,1424,50375,890,235
22,02/28/2008,04/01/2008,Handcrafted Home Decor,1447,60002,890,243
23,02/28/2008,07/28/2008,Handcrafted Home Decor,930,36170,890,138
24,02/29/2008,03/11/2008,Handcrafted Home Decor,939,30736,890,148
25,03/17/2008,11/17/2008,Handcrafted Home Decor,1448,41360,890,238
26,03/13/2008,04/17/2008,Handcrafted Home Decor,941,31950,890,214
27,03/18/2008,06/04/2008,Handcrafted Home Decor,1563,20506,890,195
28,03/31/2008,06/03/2008,Eco-Friendly Apparel,1398,48659,890,189
29,02/20/2008,04/24/2008,Eco-Friendly Apparel,1558,48665,890,150
30,02/20/2008,04/24/2008,Eco-Friendly Apparel,1769,25689,890,185
31,03/31/2008,07/12/2008,Eco-Friendly Apparel,1597,21682,890,189
32,04/04/2008,04/07/2008,Eco-Friendly Apparel,917,66876,890,134
33,05/14/2008,09/19/2008,Eco-Friendly Apparel,1445,56418,890,195
34,05/15/2008,09/02/2008,Eco-Friendly Apparel,1142,46045,890,154
35,05/20/2008,09/30/2008,Handcrafted Home Decor,1570,24960,890,239
36,05/23/2008,11/24/2008,Handcrafted Home Decor,1547,27507,890,176
37,07/01/2008,09/19/2008,Eco-Friendly Apparel,1179,45250,890,176
38,07/02/2008,09/09/2008,Organic Packaged Food,1301,48491,890,357
38,07/02/2008,09/09/2008,Organic Packaged Food,2078,42333,890,390
38,07/02/2008,09/09/2008,Organic Packaged Food,1055,55590,890,320
38,07/02/2008,09/09/2008,Organic Packaged Food,2014,50176,890,381
38,07/02/2008,09/09/2008,Organic Packaged Food,1373,60728,890,303
38,07/02/2008,09/09/2008,Organic Packaged Food,1830,52876,890,437
38,07/02/2008,09/09/2008,Organic Packaged Food,1919,53260,890,347
38,07/02/2008,09/09/2008,Organic Packaged Food,1456,55445,890,309
38,07/02/2008,09/09/2008,Organic Packaged Food,1131,52144,890,347
38,07/02/2008,09/09/2008,Organic Packaged Food,1492,35876,890,236
38,07/02/2008,09/09/2008,Organic Packaged Food,1109,52293,890,400
38,07/02/2008,09/09/2008,Organic Packaged Food,1581,53559,890,332
38,07/02/2008,09/09/2008,Organic Packaged Food,1795,54881,890,357
38,07/02/2008,09/09/2008,Organic Packaged Food,1809,56543,890,444
38,07/02/2008,09/09/2008,Organic Packaged Food,1885,47899,890,278
38,07/02/2008,09/09/2008,Organic Packaged Food,1772,71453,890,359
38,07/02/2008,09/09/2008,Organic Packaged Food,1936,63450,890,301
38,07/02/2008,09/09/2008,Organic Packaged Food,1572,52969,890,264
39,07/03/2008,10/08/2008,Eco-Friendly Apparel,1510,36168,890,149
40,07/24/2008,11/27/2008,Eco-Friendly Apparel,1827,53927,890,202
41,07/25/2008,08/15/2008,Customized Furniture,475,29533,890,400
41,07/25/2008,08/15/2008,Customized Furniture,732,36670,890,490
41,07/25/2008,08/15/2008,Customized Furniture,429,33941,890,375
41,07/25/2008,08/15/2008,Customized Furniture,379,34969,890,355
41,07/25/2008,08/15/2008,Customized Furniture,523,34022,890,505
41,07/25/2008,08/15/2008,Customized Furniture,472,37365,890,354
41,07/25/2008,08/15/2008,Customized Furniture,563,32583,890,393
41,07/25/2008,08/15/2008,Customized Furniture,672,26585,890,397
41,07/25/2008,08/15/2008,Customized Furniture,823,30566,890,452
41,07/25/2008,08/15/2008,Customized Furniture,381,32787,890,494
41,07/25/2008,08/15/2008,Customized Furniture,785,37494,890,445
41,07/25/2008,08/15/2008,Customized Furniture,648,32487,890,331
41,07/25/2008,08/15/2008,Customized Furniture,654,32294,890,381
41,07/25/2008,08/15/2008,Customized Furniture,419,26795,890,442
41,07/25/2008,08/15/2008,Customized Furniture,806,35267,890,355
41,07/25/2008,08/15/2008,Customized Furniture,614,30420,890,389
41,07/25/2008,08/15/2008,Customized Furniture,406,29003,890,377
41,07/25/2008,08/15/2008,Customized Furniture,785,31392,890,459
41,07/25/2008,08/15/2008,Customized Furniture,379,33287,890,332
41,07/25/2008,08/15/2008,Customized Furniture,428,31184,890,445
41,07/25/2008,08/15/2008,Customized Furniture,363,29186,890,363
41,07/25/2008,08/15/2008,Customized Furniture,866,34114,890,467
41,07/25/2008,08/15/2008,Customized Furniture,349,29192,890,397
41,07/25/2008,08/15/2008,Customized Furniture,544,37255,890,388
41,07/25/2008,08/15/2008,Customized Furniture,567,34184,890,379
41,07/25/2008,08/15/2008,Customized Furniture,724,26810,890,322
41,07/25/2008,08/15/2008,Customized Furniture,686,31231,890,456
41,07/25/2008,08/15/2008,Customized Furniture,637,30925,890,470
41,07/25/2008,08/15/2008,Customized Furniture,882,31442,890,341
42,07/31/2008,10/20/2008,Handcrafted Home Decor,1552,27753,890,196
43,08/26/2008,09/18/2008,Handcrafted Home Decor,1029,39090,890,210
44,08/27/2008,10/02/2008,Handcrafted Home Decor,1044,55348,890,270
45,09/03/2008,01/23/2009,Organic Packaged Food,1808,19181,890,339
45,09/03/2008,01/23/2009,Organic Packaged Food,1878,18622,890,271
45,09/03/2008,01/23/2009,Organic Packaged Food,2032,19221,890,367
45,09/03/2008,01/23/2009,Organic Packaged Food,1412,16753,890,241
45,09/03/2008,01/23/2009,Organic Packaged Food,1829,18843,890,261
45,09/03/2008,01/23/2009,Organic Packaged Food,1565,15945,890,248
45,09/03/2008,01/23/2009,Organic Packaged Food,1103,17098,890,241
45,09/03/2008,01/23/2009,Organic Packaged Food,1676,19340,890,287
45,09/03/2008,01/23/2009,Organic Packaged Food,1944,17812,890,367
45,09/03/2008,01/23/2009,Organic Packaged Food,1269,18611,890,262
45,09/03/2008,01/23/2009,Organic Packaged Food,1465,19182,890,348
45,09/03/2008,01/23/2009,Organic Packaged Food,1800,18703,890,267
45,09/03/2008,01/23/2009,Organic Packaged Food,2004,16737,890,240
45,09/03/2008,01/23/2009,Organic Packaged Food,1233,18832,890,273
45,09/03/2008,01/23/2009,Organic Packaged Food,1912,19767,890,307
45,09/03/2008,01/23/2009,Organic Packaged Food,2055,15696,890,374
45,09/03/2008,01/23/2009,Organic Packaged Food,1356,18758,890,295
45,09/03/2008,01/23/2009,Organic Packaged Food,1963,21073,890,319
45,09/03/2008,01/23/2009,Organic Packaged Food,1093,21171,890,446
46,03/06/2009,04/08/2009,Eco-Friendly Apparel,1702,54920,890,199
47,09/24/2008,10/29/2008,Handcrafted Home Decor,1201,27821,890,277
48,10/02/2008,11/28/2008,Handcrafted Home Decor,1148,22693,890,236
49,10/02/2008,01/23/2009,Handcrafted Home Decor,954,44464,890,256
50,11/19/2008,02/06/2009,Customized Furniture,872,25406,890,477
50,11/19/2008,02/06/2009,Customized Furniture,841,33907,890,421
50,11/19/2008,02/06/2009,Customized Furniture,727,26726,890,406
50,11/19/2008,02/06/2009,Customized Furniture,763,33994,890,442
50,11/19/2008,02/06/2009,Customized Furniture,509,30072,890,395
50,11/19/2008,02/06/2009,Customized Furniture,738,28565,890,395
50,11/19/2008,02/06/2009,Customized Furniture,633,20091,890,403
50,11/19/2008,02/06/2009,Customized Furniture,777,30843,890,485
50,11/19/2008,02/06/2009,Customized Furniture,459,32676,890,398
50,11/19/2008,02/06/2009,Customized Furniture,681,32352,890,477
50,11/19/2008,02/06/2009,Customized Furniture,353,35429,890,485
50,11/19/2008,02/06/2009,Customized Furniture,752,30881,890,341
50,11/19/2008,02/06/2009,Customized Furniture,484,30022,890,440
50,11/19/2008,02/06/2009,Customized Furniture,492,30000,890,332
50,11/19/2008,02/06/2009,Customized Furniture,812,27657,890,496
50,11/19/2008,02/06/2009,Customized Furniture,775,32002,890,403
50,11/19/2008,02/06/2009,Customized Furniture,428,32529,890,495
50,11/19/2008,02/06/2009,Customized Furniture,684,35083,890,433
50,11/19/2008,02/06/2009,Customized Furniture,407,35858,890,335
50,11/19/2008,02/06/2009,Customized Furniture,691,35868,890,433
50,11/19/2008,02/06/2009,Customized Furniture,465,29998,890,461
50,11/19/2008,02/06/2009,Customized Furniture,732,28719,890,507
50,11/19/2008,02/06/2009,Customized Furniture,471,29690,890,444
50,11/19/2008,02/06/2009,Customized Furniture,578,31536,890,461
50,11/19/2008,02/06/2009,Customized Furniture,623,30730,890,435
50,11/19/2008,02/06/2009,Customized Furniture,444,22727,890,467
50,11/19/2008,02/06/2009,Customized Furniture,502,29525,890,505
50,11/19/2008,02/06/2009,Customized Furniture,572,30152,890,352
50,11/19/2008,02/06/2009,Customized Furniture,669,32360,890,419
50,11/19/2008,02/06/2009,Customized Furniture,470,28850,890,407
50,11/19/2008,02/06/2009,Customized Furniture,568,29906,890,469
50,11/19/2008,02/06/2009,Customized Furniture,335,28057,890,432
50,11/19/2008,02/06/2009,Customized Furniture,448,29242,890,462
50,11/19/2008,02/06/2009,Customized Furniture,804,28945,890,344
50,11/19/2008,02/06/2009,Customized Furniture,463,34990,890,369
50,11/19/2008,02/06/2009,Customized Furniture,815,32111,890,352
50,11/19/2008,02/06/2009,Customized Furniture,733,29361,890,395
50,11/19/2008,02/06/2009,Customized Furniture,533,30530,890,429
50,11/19/2008,02/06/2009,Customized Furniture,624,29621,890,331
51,12/19/2008,04/21/2009,Eco-Friendly Apparel,1128,35756,890,230
52,12/19/2008,03/02/2009,Electronics Components,1123,49734,890,206
52,12/19/2008,03/02/2009,Electronics Components,1765,49735,890,185
52,12/19/2008,03/02/2009,Electronics Components,1223,51603,890,205
52,12/19/2008,03/02/2009,Electronics Components,1879,39716,890,139
52,12/19/2008,03/02/2009,Electronics Components,1347,50800,890,188
52,12/19/2008,03/02/2009,Electronics Components,1223,28622,890,179
52,12/19/2008,03/02/2009,Electronics Components,1467,31244,890,133
52,12/19/2008,03/02/2009,Electronics Components,1237,28634,890,226
52,12/19/2008,03/02/2009,Electronics Components,1887,27927,890,203
52,12/19/2008,03/02/2009,Electronics Components,1776,49452,890,174
52,12/19/2008,03/02/2009,Electronics Components,1589,32372,890,192
52,12/19/2008,03/02/2009,Electronics Components,1334,42672,890,229
52,12/19/2008,03/02/2009,Electronics Components,1229,28579,890,216
52,12/19/2008,03/02/2009,Electronics Components,1900,29880,890,148
52,12/19/2008,03/02/2009,Electronics Components,1886,48861,890,228
52,12/19/2008,03/02/2009,Electronics Components,1337,30147,890,120
52,12/19/2008,03/02/2009,Electronics Components,1775,30766,890,128
52,12/19/2008,03/02/2009,Electronics Components,1267,43069,890,176
52,12/19/2008,03/02/2009,Electronics Components,1887,35684,890,180
52,12/19/2008,03/02/2009,Electronics Components,1899,36622,890,189
52,12/19/2008,03/02/2009,Electronics Components,1337,36595,890,199
53,01/05/2009,03/23/2009,Handcrafted Home Decor,1072,52348,890,275
54,01/16/2009,04/10/2009,Eco-Friendly Apparel,1212,19973,890,145
